id,name,cost_net,vat,cost_gross,category
4759,Ładowarka,4487.49,5,4711.86,B
4760,Tablet,2583.52,12,2893.54,F
4761,Tuner,4419.4,23,5435.86,G
4762,Torba,2013.57,5,2114.25,A
4763,Bindownica,441.21,5,463.27,H
4764,Zasilacz,660.29,5,693.3,A
4765,Karta pamięci,3127.86,12,3503.2,H
4766,Powerbank,547.45,23,673.36,A
4767,Mysz,3207.92,5,3368.32,F
4768,Słuchawki,4962.85,12,5558.39,D
4769,Pamięć RAM,1187.46,23,1460.58,E
4770,Mikser,1521.17,5,1597.23,F
4771,Uchwyt,1952.32,8,2108.51,F
4772,Uchwyt,1028.1,8,1110.35,H
4773,Ładowarka,298.3,8,322.16,C
4774,Powerbank,648.3,5,680.72,G
4775,Ładowarka,4857.04,12,5439.88,H
4776,Odkurzacz,905.85,23,1114.2,A
4777,Torba,1397.51,8,1509.31,C
4778,Pamięć RAM,793.51,23,976.02,E
4779,Projektor,2764.73,12,3096.5,C
4780,Pralka,887.79,23,1091.98,A
4781,Robot kuchenny,4669.32,12,5229.64,G
4782,Klimatyzator,2780.58,12,3114.25,A
4783,Lampa,2012.67,12,2254.19,A
4784,Smartwatch,2764.35,23,3400.15,C
4785,Nawigacja,1808.56,23,2224.53,A
4786,Podstawka,4006.6,8,4327.13,A
4787,Gramofon,3892.18,8,4203.55,G
4788,Uchwyt,2038.4,5,2140.32,C
4789,Amplituner,4281.46,5,4495.53,A
4790,Podkładka,2985.9,8,3224.77,H
4791,Ładowarka,3193.51,23,3928.02,B
4792,Podstawka,1814.73,12,2032.5,A
4793,Lampa,4808.55,8,5193.23,H
4794,Robot kuchenny,2770.69,12,3103.17,C
4795,Pamięć RAM,3583.92,12,4013.99,E
4796,Monitor,3748.99,12,4198.87,A
4797,Adapter,573.57,23,705.49,H
4798,Konwerter,3389.69,5,3559.17,E
4799,Torba,2119.78,23,2607.33,G
4800,Płyta główna,2599.88,12,2911.87,F
4801,Torba,2901.44,23,3568.77,A
4802,Procesor,654.32,23,804.81,F
4803,Obudowa,1681.71,12,1883.52,G
4804,Fotel,1597.54,12,1789.24,F
4805,Robot kuchenny,2597.96,8,2805.8,F
4806,Klawiatura,3325.03,12,3724.03,H
4807,Toster,4917.19,5,5163.05,H
4808,Subwoofer,2373.7,12,2658.54,D
4809,Smartwatch,538.38,5,565.3,C
4810,Podkładka,3375.79,23,4152.22,A
4811,Bindownica,188.64,23,232.03,A
4812,Uchwyt,2611.27,5,2741.83,D
4813,Adapter,451.6,8,487.73,F
4814,Mikrofon,2800.7,23,3444.86,F
4815,Klawiatura,1228.34,8,1326.61,G
4816,Karta pamięci,1803.6,12,2020.03,D
4817,Toster,4917.49,12,5507.59,E
4818,Podstawka,3902.0,8,4214.16,C
4819,Mikser,2197.63,23,2703.08,H
4820,Lampa biurkowa,2333.95,8,2520.67,A
4821,Klawiatura,794.07,23,976.71,B
4822,Obiektyw,2679.06,5,2813.01,H
4823,Smartwatch,986.28,5,1035.59,H
4824,Obudowa,928.63,23,1142.21,C
4825,Smartband,3664.03,8,3957.15,G
4826,Klawiatura,4351.84,5,4569.43,E
4827,Karta pamięci,4668.36,23,5742.08,E
4828,Drukarka,3175.69,12,3556.77,H
4829,Obudowa,2991.24,23,3679.23,F
4830,Statyw,3810.28,5,4000.79,D
4831,Obudowa,4147.58,8,4479.39,A
4832,Odtwarzacz,391.13,5,410.69,B
4833,Modem,3200.37,23,3936.46,F
4834,Smartwatch,511.31,5,536.88,H
4835,Odkurzacz,4300.72,12,4816.81,A
4836,Aparat,62.16,23,76.46,D
4837,Antena,898.0,8,969.84,A
4838,Ładowarka,2220.85,5,2331.89,A
4839,Filtr,2456.66,5,2579.49,F
4840,Telewizor,712.34,23,876.18,D
4841,Smartwatch,1519.48,5,1595.45,C
4842,Drukarka,2600.29,23,3198.36,D
4843,Odtwarzacz,89.6,5,94.08,B
4844,Słuchawki,2477.33,23,3047.12,F
4845,Karta pamięci,2054.33,8,2218.68,B
4846,Lokalizator,419.39,8,452.94,G
4847,Czajnik,3946.38,23,4854.05,D
4848,Antena,3758.31,12,4209.31,B
4849,Ładowarka,4932.48,12,5524.38,E
4850,Uchwyt,572.03,5,600.63,H
4851,Interfejs audio,1044.19,12,1169.49,H
4852,Lodówka,3564.82,8,3850.01,C
4853,Stacja dokująca,3330.34,12,3729.98,G
4854,Klimatyzator,4559.13,5,4787.09,A
4855,Klawiatura,4661.3,12,5220.66,D
4856,Pendrive,3986.91,8,4305.86,C
4857,Dysk external,1150.89,8,1242.96,B
4858,Torba,3924.15,8,4238.08,D
4859,Procesor,3162.37,23,3889.72,G
4860,Klawiatura,4602.83,23,5661.48,F
4861,Niszczarka,1855.14,12,2077.76,E
4862,Konsola,599.69,5,629.67,B
4863,Dysk external,4528.08,8,4890.33,B
4864,Telewizor,901.44,5,946.51,H
4865,Kabel,806.27,23,991.71,B
4866,Zasilacz,3880.23,23,4772.68,C
4867,Kolumny,4477.95,12,5015.3,G
4868,Mikser,2571.24,5,2699.8,F
4869,Telefon,2416.62,23,2972.44,E
4870,Karta graficzna,1549.11,23,1905.41,E
4871,Obudowa,1202.74,5,1262.88,H
4872,Klawiatura,2883.19,12,3229.17,H
4873,Adapter,2584.4,8,2791.15,G
4874,Robot kuchenny,1054.92,23,1297.55,D
4875,Mikser,3265.49,12,3657.35,C
4876,SSD,3072.34,12,3441.02,H
4877,Zasilacz,188.05,23,231.3,E
4878,Słuchawki,4503.43,8,4863.7,H
4879,Pendrive,702.3,12,786.58,F
4880,Tablet,1350.71,8,1458.77,E
4881,Kontroler,4866.74,8,5256.08,H
4882,Niszczarka,2007.28,12,2248.15,A
4883,Niszczarka,1476.01,23,1815.49,F
4884,Webcam,2929.15,12,3280.65,C
4885,Podstawka,642.98,12,720.14,A
4886,Mikser,2678.61,12,3000.04,A
4887,Podkładka,4185.02,23,5147.57,A
4888,Karta graficzna,1603.71,12,1796.16,A
4889,Tuner,4108.34,12,4601.34,G
4890,Aparat,1896.9,23,2333.19,A
4891,Tuner,1490.8,12,1669.7,C
4892,Powerbank,742.16,5,779.27,H
4893,Zasilacz,3708.68,12,4153.72,F
4894,Tablet,4581.11,23,5634.77,F
4895,Ładowarka,1222.34,8,1320.13,B
4896,Podkładka,1418.33,23,1744.55,H
4897,Amplituner,2999.59,8,3239.56,D
4898,Kalkulator,3842.78,23,4726.62,B
4899,Amplituner,2877.54,23,3539.37,E
4900,Lodówka,3258.55,23,4008.02,E
4901,Obudowa,2613.31,5,2743.98,A
4902,Mysz,2650.51,5,2783.04,D
4903,Podkładka,3914.81,12,4384.59,B
4904,Kabel,4798.01,12,5373.77,D
4905,Amplituner,1487.67,12,1666.19,A
4906,Uchwyt,2156.47,12,2415.25,G
4907,Stacja dokująca,1490.3,23,1833.07,B
4908,Konsola,3888.37,8,4199.44,H
4909,Fotel,3463.41,5,3636.58,E
4910,Stacja dokująca,3343.05,12,3744.22,A
4911,Lodówka,1284.6,12,1438.75,D
4912,Telefon,89.68,8,96.85,G
4913,Obiektyw,4127.47,5,4333.84,D
4914,Switch,1283.48,5,1347.65,E
4915,Skaner,2034.93,5,2136.68,G
4916,Telefon,3662.49,23,4504.86,D
4917,Smartband,3348.11,12,3749.88,F
4918,Obiektyw,3600.95,5,3781.0,E
4919,Klimatyzator,569.53,5,598.01,A
4920,Drukarka,2879.49,8,3109.85,D
4921,Kabel,1165.79,5,1224.08,B
4922,Lokalizator,286.27,23,352.11,G
4923,Powerbank,4325.52,8,4671.56,C
4924,Lampa,3938.48,8,4253.56,H
4925,Torba,2373.68,8,2563.57,G
4926,Filtr,2403.1,8,2595.35,C
4927,Interfejs audio,158.79,23,195.31,A
4928,Antena,2066.64,12,2314.64,G
4929,Aparat,2055.18,12,2301.8,B
4930,Odkurzacz,2238.15,8,2417.2,A
4931,Monitor,1119.16,23,1376.57,H
4932,Ładowarka,1826.68,12,2045.88,A
4933,Lokalizator,3855.43,23,4742.18,F
4934,Klimatyzator,1738.81,5,1825.75,F
4935,Torba,2463.59,12,2759.22,D
4936,Pralka,1366.03,8,1475.31,A
4937,Podkładka,2095.74,23,2577.76,A
4938,Wzmacniacz sygnału,3742.66,23,4603.47,G
4939,Lokalizator,4441.15,5,4663.21,B
4940,Lodówka,2005.74,12,2246.43,F
4941,Soundbar,3943.76,23,4850.82,D
4942,Obudowa,4896.75,8,5288.49,E
4943,Fotel,509.88,12,571.07,F
4944,Kalkulator,3441.42,8,3716.73,F
4945,Kontroler,621.32,23,764.22,B
4946,Adapter,4594.57,12,5145.92,G
4947,Lodówka,3706.99,5,3892.34,G
4948,Antena,1141.27,5,1198.33,D
4949,Webcam,4286.67,5,4501.0,A
4950,Konsola,1931.93,5,2028.53,F
4951,Mikrofon,2945.4,12,3298.85,B
4952,Filtr,816.34,12,914.3,G
4953,Konwerter,3570.88,12,3999.39,A
4954,Głośnik,1735.07,12,1943.28,A
4955,Procesor,3173.24,23,3903.09,G
4956,Karta pamięci,2998.86,23,3688.6,G
4957,Webcam,4934.33,12,5526.45,A
4958,Skaner,337.92,23,415.64,A
4959,Zasilacz,114.7,8,123.88,F
4960,Robot kuchenny,3739.33,8,4038.48,E
4961,Adapter,1462.13,12,1637.59,F
4962,Tablet,1511.55,8,1632.47,A
4963,Karta pamięci,4770.44,8,5152.08,F
4964,Obudowa,4706.9,12,5271.73,C
4965,Mysz,4589.75,12,5140.52,D
4966,Stacja dokująca,4489.34,5,4713.81,H
4967,Wzmacniacz,2146.52,8,2318.24,A
4968,Zasilacz,1049.45,23,1290.82,E
4969,Router,471.43,12,528.0,E
4970,Smartwatch,422.63,12,473.35,B
4971,Projektor,156.23,8,168.73,D
4972,Tuner,444.66,23,546.93,H
4973,Pendrive,70.66,5,74.19,D
4974,Ładowarka,3393.09,23,4173.5,G
4975,Mikrofon,2234.29,12,2502.4,H
4976,Nawigacja,4212.67,8,4549.68,F
4977,Lampa biurkowa,4997.89,12,5597.64,G
4978,Telewizor,2608.02,5,2738.42,D
4979,Interfejs audio,2032.59,12,2276.5,D
4980,Zasilacz,1905.05,5,2000.3,B
4981,Mikser,4518.75,23,5558.06,D
4982,Podkładka,4357.46,23,5359.68,A
4983,Adapter,3408.38,23,4192.31,E
4984,Mikrofon,2517.15,23,3096.09,G
4985,Mikser,2106.84,5,2212.18,G
4986,Filtr,3666.09,5,3849.39,A
4987,Kabel,3699.94,8,3995.94,A
4988,Skaner,4575.93,8,4942.0,E
4989,Switch,1134.75,5,1191.49,B
4990,Filtr,187.47,5,196.84,H
4991,Uchwyt,1064.1,23,1308.84,E
4992,Mikser,3576.14,5,3754.95,H
4993,Webcam,3696.83,23,4547.1,C
4994,Zasilacz,4936.19,8,5331.09,G
4995,Telewizor,4251.73,8,4591.87,F
4996,Klimatyzator,2358.36,12,2641.36,E
4997,Konwerter,1141.85,12,1278.87,B
4998,Zmywarka,502.56,12,562.87,E
4999,Kalkulator,442.92,8,478.35,B
5000,Powerbank,4015.45,23,4939.0,H
5001,Czajnik,1585.69,12,1775.97,G
5002,Odtwarzacz,2416.16,8,2609.45,C
5003,Klawiatura,4953.47,23,6092.77,C
5004,Podstawka,248.59,12,278.42,F
5005,Lampa biurkowa,3125.57,8,3375.62,A
5006,Zmywarka,4570.36,23,5621.54,G
5007,Odtwarzacz,2226.03,8,2404.11,E
5008,Webcam,348.32,12,390.12,A
5009,Adapter,2778.34,5,2917.26,C
5010,Torba,1592.61,8,1720.02,D
5011,Podstawka,1705.21,12,1909.84,F
5012,Laptop,3946.3,8,4262.0,H
5013,Gramofon,2869.73,23,3529.77,C
5014,Filtr,1234.96,12,1383.16,E
5015,Mysz,2094.54,8,2262.1,H
5016,Lampa biurkowa,1089.46,5,1143.93,G
5017,Mikser,237.86,5,249.75,E
5018,Kabel,3933.73,8,4248.43,F
5019,Czajnik,4812.62,8,5197.63,B
5020,Amplituner,3682.98,23,4530.07,C
5021,Podkładka,1720.93,5,1806.98,H
5022,Podkładka,3846.5,12,4308.08,D
5023,Procesor,3282.05,12,3675.9,G
5024,Czajnik,3233.44,23,3977.13,C
5025,Etui,4083.73,5,4287.92,H
5026,Dysk external,4021.7,23,4946.69,D
5027,Mysz,4086.55,8,4413.47,C
5028,Obiektyw,1884.48,23,2317.91,G
5029,Torba,65.0,12,72.8,G
5030,Interfejs audio,2669.24,8,2882.78,A
5031,Telewizor,991.85,8,1071.2,E
5032,Smartband,1802.68,12,2019.0,D
5033,Karta pamięci,924.55,23,1137.2,G
5034,Smartwatch,954.2,23,1173.67,E
5035,Robot kuchenny,4279.08,12,4792.57,F
5036,Wzmacniacz sygnału,813.5,12,911.12,G
5037,Wzmacniacz sygnału,539.33,8,582.48,C
5038,Odkurzacz,982.76,12,1100.69,G
5039,Słuchawki,3192.49,8,3447.89,E
5040,Aparat,2196.95,12,2460.58,E
5041,Kamera,1896.61,5,1991.44,F
5042,Skaner,3828.78,12,4288.23,D
5043,Kolumny,1200.79,23,1476.97,D
5044,Obudowa,3132.8,8,3383.42,F
5045,Subwoofer,3921.61,5,4117.69,H
5046,Equalizer,2840.21,5,2982.22,H
5047,Szkło hartowane,1792.26,12,2007.33,F
5048,Lokalizator,800.09,12,896.1,C
5049,Płyta główna,610.63,12,683.91,C
5050,Czajnik,4701.18,8,5077.27,G
5051,Pendrive,4104.12,23,5048.07,B
5052,Podstawka,3874.9,23,4766.13,F
5053,Uchwyt,1723.78,23,2120.25,C
5054,Odtwarzacz,2353.4,5,2471.07,D
5055,Chłodzenie,2685.11,5,2819.37,A
5056,Stacja dokująca,4746.44,23,5838.12,H
5057,Wzmacniacz,1853.81,5,1946.5,G
5058,Projektor,3044.07,23,3744.21,H
5059,Filtr,2385.4,8,2576.23,B
5060,Pendrive,923.71,8,997.61,E
5061,Statyw,672.21,23,826.82,A
5062,Karta graficzna,1483.35,23,1824.52,C
5063,Mikser,395.3,5,415.07,E
5064,Adapter,4375.04,5,4593.79,H
5065,Płyta główna,4819.58,8,5205.15,F
5066,Smartband,1479.58,23,1819.88,D
5067,Klawiatura,4964.27,23,6106.05,A
5068,Nawigacja,3401.87,5,3571.96,G
5069,Filtr,3255.95,5,3418.75,H
5070,Karta pamięci,398.85,5,418.79,E
5071,Bindownica,3031.88,23,3729.21,C
5072,Mikser,2999.28,8,3239.22,D
5073,Amplituner,295.34,5,310.11,A
5074,Niszczarka,3979.76,5,4178.75,C
5075,Lokalizator,2256.61,23,2775.63,F
5076,Robot kuchenny,2348.37,8,2536.24,F
5077,Equalizer,3077.84,12,3447.18,B
5078,Słuchawki,3674.93,23,4520.16,H
5079,Odtwarzacz,2808.42,12,3145.43,E
5080,Pralka,3918.38,23,4819.61,B
5081,Filtr,4558.56,23,5607.03,D
5082,Kabel,4278.1,12,4791.47,A
5083,Kino domowe,3481.04,8,3759.52,H
5084,Lokalizator,3193.26,12,3576.45,D
5085,Uchwyt,671.02,5,704.57,D
5086,Torba,1136.25,12,1272.6,G
5087,Podstawka,4784.97,8,5167.77,G
5088,Zasilacz,4491.68,23,5524.77,C
5089,Torba,4832.08,12,5411.93,D
5090,Lokalizator,2941.36,12,3294.32,D
5091,Interfejs audio,3297.03,23,4055.35,E
5092,Karta graficzna,976.7,8,1054.84,F
5093,Skaner,4682.95,8,5057.59,G
5094,Mysz,4572.19,12,5120.85,E
5095,Subwoofer,1530.53,5,1607.06,H
5096,Lodówka,4557.82,8,4922.45,H
5097,Lampa biurkowa,2930.41,5,3076.93,H
5098,Obudowa,1554.59,8,1678.96,B
5099,Wzmacniacz sygnału,1275.57,23,1568.95,D
5100,Ładowarka,1172.75,5,1231.39,G
5101,Hub USB,4747.45,8,5127.25,B
5102,Pendrive,1109.92,8,1198.71,A
5103,Obudowa,1797.39,8,1941.18,B
5104,Fotel,4252.93,5,4465.58,E
5105,Zmywarka,965.22,12,1081.05,G
5106,Konwerter,3975.81,8,4293.87,B
5107,Robot kuchenny,3513.75,12,3935.4,A
5108,Karta graficzna,869.58,8,939.15,E
5109,Podstawka,1291.22,12,1446.17,B
5110,Odtwarzacz,353.88,5,371.57,C
5111,Robot kuchenny,3660.13,5,3843.14,G
5112,Aparat,4236.19,12,4744.53,F
5113,Equalizer,3068.47,12,3436.69,G
5114,Telewizor,2349.09,12,2630.98,A
5115,Webcam,1854.06,8,2002.38,B
5116,Mikser,2132.17,12,2388.03,E
5117,Torba,4456.23,23,5481.16,G
5118,Modem,3094.8,12,3466.18,D
5119,Amplituner,206.52,23,254.02,H
5120,Mikser,489.19,5,513.65,G
5121,Wzmacniacz,1328.63,5,1395.06,C
5122,Powerbank,2012.81,8,2173.83,H
5123,Uchwyt,1439.39,23,1770.45,C
5124,Karta pamięci,2483.97,8,2682.69,E
5125,Kino domowe,2399.35,12,2687.27,C
5126,Lokalizator,2111.9,5,2217.5,H
5127,Wzmacniacz sygnału,884.14,5,928.35,G
5128,Toster,4921.54,12,5512.12,B
5129,Kolumny,2644.55,12,2961.9,B
5130,Mikser,3393.65,8,3665.14,G
5131,Kabel,2275.24,5,2389.0,D
5132,Robot kuchenny,1219.44,12,1365.77,D
5133,Odkurzacz,72.76,23,89.49,C
5134,Adapter,3102.67,8,3350.88,F
5135,Procesor,4804.9,8,5189.29,F
5136,Projektor,4109.03,8,4437.75,D
5137,Powerbank,712.86,8,769.89,B
5138,Mikrofon,1442.38,8,1557.77,F
5139,Mikser,4505.88,23,5542.23,D
5140,Mikrofon,3972.68,23,4886.4,F
5141,Klawiatura,2218.19,8,2395.65,E
5142,Statyw,213.94,8,231.06,G
5143,Ładowarka,3080.37,12,3450.01,C
5144,Powerbank,3098.45,8,3346.33,C
5145,Pendrive,2251.28,23,2769.07,E
5146,Fotel,348.44,5,365.86,E
5147,Kolumny,3704.67,5,3889.9,E
5148,Mikrofon,3034.11,23,3731.96,H
5149,Karta pamięci,4592.27,5,4821.88,C
5150,Kabel,2057.12,12,2303.97,G
5151,Statyw,1901.68,23,2339.07,F
5152,Telewizor,2466.35,12,2762.31,H
5153,Mikser,1780.59,23,2190.13,F
5154,Ładowarka,2902.81,12,3251.15,F
5155,Mikrofon,4091.05,12,4581.98,E
5156,Adapter,3931.95,8,4246.51,G
5157,Konsola,1783.28,12,1997.27,G
5158,Amplituner,3277.98,8,3540.22,D
5159,Switch,1228.1,23,1510.56,D
5160,Ładowarka,2096.73,23,2578.98,F
5161,Telefon,3679.05,5,3863.0,G
5162,Drukarka,4187.83,12,4690.37,B
5163,Amplituner,1074.55,5,1128.28,C
5164,Konsola,3704.56,12,4149.11,E
5165,Obudowa,4466.77,5,4690.11,D
5166,Dysk external,4662.75,8,5035.77,E
5167,Ładowarka,4599.06,8,4966.98,A
5168,Pendrive,2470.74,5,2594.28,C
5169,Kamera,1857.36,23,2284.55,A
5170,Powerbank,1625.87,12,1820.97,G
5171,Monitor,2480.88,23,3051.48,G
5172,Wzmacniacz,1778.24,12,1991.63,E
5173,Ładowarka,3946.72,12,4420.33,B
5174,Szkło hartowane,3034.74,12,3398.91,C
5175,Telewizor,744.0,12,833.28,H
5176,Torba,3538.66,8,3821.75,E
5177,Klimatyzator,2074.4,8,2240.35,A
5178,Klawiatura,2464.08,5,2587.28,H
5179,Hub USB,1139.09,5,1196.04,F
5180,Wzmacniacz sygnału,381.42,5,400.49,B
5181,Pralka,2753.1,5,2890.76,B
5182,Płyta główna,3516.74,12,3938.75,A
5183,Telefon,1805.65,5,1895.93,F
5184,Tuner,4467.62,23,5495.17,B
5185,Smartwatch,4440.97,23,5462.39,B
5186,Etui,1239.36,23,1524.41,E
5187,Nawigacja,3656.38,12,4095.15,G
5188,Telefon,2459.42,23,3025.09,G
5189,Mikrofon,3311.88,12,3709.31,C
5190,Niszczarka,4338.36,8,4685.43,H
5191,Wzmacniacz sygnału,3193.94,8,3449.46,B
5192,Nawigacja,4753.66,8,5133.95,B
5193,Płyta główna,2627.44,5,2758.81,E
5194,Dysk external,1947.86,12,2181.6,F
5195,Torba,2684.86,8,2899.65,H
5196,Telewizor,2762.76,12,3094.29,D
5197,Kabel,645.02,12,722.42,E
5198,Soundbar,265.25,8,286.47,C
5199,SSD,1948.18,8,2104.03,G
5200,Uchwyt,1146.86,5,1204.2,D
5201,Antena,4097.0,5,4301.85,F
5202,Adapter,4565.12,23,5615.1,G
5203,Aparat,2351.94,12,2634.17,A
5204,Uchwyt,2215.83,8,2393.1,F
5205,Zasilacz,210.33,5,220.85,C
5206,Kino domowe,1933.86,23,2378.65,C
5207,Zasilacz,1306.77,8,1411.31,E
5208,Klimatyzator,4168.33,12,4668.53,F
5209,SSD,1571.02,5,1649.57,B
5210,Chłodzenie,3439.87,5,3611.86,G
5211,Fotel,1888.78,5,1983.22,H
5212,Kontroler,2585.72,12,2896.01,H
5213,Smartwatch,2896.84,12,3244.46,G
5214,Lampa biurkowa,2195.71,12,2459.2,F
5215,Nawigacja,4064.03,12,4551.71,D
5216,Telefon,87.4,5,91.77,F
5217,Uchwyt,2114.39,5,2220.11,C
5218,SSD,2969.75,23,3652.79,H
5219,Mikrofon,4454.81,12,4989.39,D
5220,Statyw,2113.93,12,2367.6,E
5221,Dysk external,70.77,12,79.26,H
5222,Toster,4429.76,12,4961.33,E
5223,Stacja dokująca,4771.64,12,5344.24,B
5224,Pamięć RAM,2262.92,12,2534.47,C
5225,Adapter,3386.28,23,4165.12,B
5226,Mysz,2557.57,5,2685.45,A
5227,Dysk external,4087.06,5,4291.41,C
5228,Głośnik,2251.31,12,2521.47,H
5229,Etui,643.05,23,790.95,G
5230,Uchwyt,877.54,12,982.84,F
5231,SSD,1654.15,23,2034.6,E
5232,Zasilacz,276.29,8,298.39,F
5233,Switch,3989.37,5,4188.84,G
5234,Mikser,499.67,12,559.63,B
5235,Hub USB,2204.08,5,2314.28,H
5236,Pamięć RAM,1739.51,8,1878.67,A
5237,Uchwyt,3990.63,8,4309.88,F
5238,Interfejs audio,3657.83,23,4499.13,E
5239,SSD,255.48,12,286.14,C
5240,Kabel,1003.46,8,1083.74,D
5241,Powerbank,3066.6,8,3311.93,A
5242,Bindownica,358.26,5,376.17,C
5243,Kabel,2112.95,23,2598.93,G
5244,Karta pamięci,1318.66,12,1476.9,D
5245,Uchwyt,2715.23,8,2932.45,D
5246,Equalizer,2764.05,23,3399.78,G
5247,Obiektyw,2151.26,8,2323.36,B
5248,Klawiatura,1184.99,8,1279.79,B
5249,Karta pamięci,2275.46,23,2798.82,B
5250,Modem,4369.17,12,4893.47,C
5251,Pendrive,2618.34,5,2749.26,B
5252,Torba,3431.78,5,3603.37,G
5253,Konwerter,1429.8,23,1758.65,G
5254,Kino domowe,2060.74,5,2163.78,B
5255,Interfejs audio,2957.06,23,3637.18,A
5256,Amplituner,4697.88,8,5073.71,G
5257,Pralka,4607.31,5,4837.68,F
5258,Adapter,720.74,8,778.4,F
5259,Klimatyzator,2652.98,8,2865.22,A
5260,Webcam,4519.59,8,4881.16,G
5261,Drukarka,4198.17,5,4408.08,G
5262,Kamera,519.91,8,561.5,B
5263,Karta graficzna,3921.97,23,4824.02,B
5264,Equalizer,568.82,5,597.26,A
5265,Bindownica,771.55,23,949.01,G
5266,Smartwatch,2954.28,12,3308.79,G
5267,Odtwarzacz,2485.68,12,2783.96,E
5268,Hub USB,1824.66,23,2244.33,D
5269,Zmywarka,258.77,8,279.47,F
5270,Kino domowe,3980.15,12,4457.77,B
5271,Smartband,185.69,12,207.97,F
5272,Switch,798.9,8,862.81,C
5273,Kabel,4173.66,12,4674.5,D
5274,Gramofon,2760.73,5,2898.77,H
5275,Kalkulator,4691.79,8,5067.13,C
5276,SSD,753.45,5,791.12,A
5277,Mikser,1182.89,12,1324.84,A
5278,Karta graficzna,1989.43,5,2088.9,A
5279,Mikrofon,1427.88,23,1756.29,H
5280,SSD,4886.19,8,5277.09,H
5281,Uchwyt,1401.18,23,1723.45,H
5282,Mikser,3618.78,23,4451.1,A
5283,Konsola,4066.02,8,4391.3,G
5284,Aparat,1275.48,5,1339.25,F
5285,Aparat,3201.88,5,3361.97,F
5286,Aparat,4001.12,5,4201.18,H
5287,Torba,1984.17,8,2142.9,H
5288,Procesor,118.45,23,145.69,A
5289,Mikrofon,3800.45,12,4256.5,A
5290,Mikrofon,1354.45,8,1462.81,B
5291,Zasilacz,1816.52,8,1961.84,C
5292,Torba,4929.47,23,6063.25,A
5293,Aparat,4909.7,23,6038.93,G
5294,Mysz,1627.43,5,1708.8,E
5295,Głośnik,613.56,12,687.19,E
5296,Tuner,257.25,12,288.12,H
5297,Drukarka,3838.03,12,4298.59,A
5298,Adapter,3803.58,8,4107.87,D
5299,Tablet,1049.39,23,1290.75,D
5300,Wzmacniacz,1309.86,5,1375.35,A
5301,Statyw,1929.78,5,2026.27,C
5302,Obudowa,598.43,8,646.3,D
5303,Smartwatch,4082.78,23,5021.82,A
5304,Smartband,3497.69,23,4302.16,A
5305,Czajnik,1287.34,23,1583.43,D
5306,Kalkulator,4787.82,5,5027.21,B
5307,Gramofon,1362.62,12,1526.13,C
5308,Bindownica,698.96,8,754.88,C
5309,Procesor,517.56,8,558.96,B
5310,Lodówka,848.67,5,891.1,E
5311,Słuchawki,2239.05,8,2418.17,A
5312,Lampa biurkowa,3668.61,5,3852.04,E
5313,Podkładka,2127.33,5,2233.7,C
5314,Klawiatura,1186.6,8,1281.53,H
5315,Odtwarzacz,4105.36,5,4310.63,A
5316,Etui,4288.8,23,5275.22,F
5317,Czajnik,3567.1,23,4387.53,G
5318,Modem,3889.04,8,4200.16,F
5319,Powerbank,2835.71,23,3487.92,A
5320,Klimatyzator,4606.85,5,4837.19,C
5321,Niszczarka,2240.48,5,2352.5,B
5322,Uchwyt,4133.49,5,4340.16,D
5323,Słuchawki,1912.42,8,2065.41,H
5324,Mysz,1211.08,8,1307.97,H
5325,Powerbank,4052.04,5,4254.64,G
5326,Słuchawki,3967.25,23,4879.72,D
5327,Klawiatura,1474.8,23,1814.0,E
5328,Laptop,4187.89,8,4522.92,B
5329,Kalkulator,3188.87,23,3922.31,H
5330,Konsola,2495.93,5,2620.73,B
5331,Webcam,2488.1,23,3060.36,G
5332,Czajnik,63.91,5,67.11,F
5333,Modem,1044.65,23,1284.92,H
5334,Procesor,3317.31,8,3582.69,B
5335,Płyta główna,401.38,12,449.55,G
5336,Statyw,3456.33,5,3629.15,H
5337,Filtr,1361.89,5,1429.98,E
5338,Ładowarka,383.67,8,414.36,C
5339,Klawiatura,503.99,12,564.47,E
5340,Router,1612.2,12,1805.66,E
5341,Gramofon,2005.4,23,2466.64,D
5342,Kamera,645.04,5,677.29,H
5343,Modem,392.65,12,439.77,D
5344,Amplituner,1378.18,8,1488.43,F
5345,Kolumny,1664.7,5,1747.94,E
5346,Mikser,3344.46,5,3511.68,F
5347,Zmywarka,627.14,8,677.31,E
5348,Obudowa,3752.32,12,4202.6,E
5349,Mikser,1360.21,12,1523.44,C
5350,Kabel,3642.91,5,3825.06,C
5351,Projektor,4628.67,23,5693.26,B
5352,Głośnik,1812.36,8,1957.35,D
5353,Czajnik,4920.21,5,5166.22,C
5354,Karta pamięci,72.63,8,78.44,B
5355,Statyw,2625.93,12,2941.04,B
5356,Kontroler,576.91,8,623.06,B
5357,Laptop,1542.97,12,1728.13,G
5358,Procesor,4737.31,5,4974.18,H
5359,SSD,3161.16,23,3888.23,G
5360,Stacja dokująca,3419.84,12,3830.22,D
5361,Karta graficzna,2125.83,12,2380.93,E
5362,Lampa,4590.0,23,5645.7,B
5363,Statyw,435.82,5,457.61,C
5364,Zmywarka,1635.31,5,1717.08,D
5365,Konwerter,4304.88,8,4649.27,D
5366,Mikser,2670.56,5,2804.09,A
5367,Switch,202.49,8,218.69,A
5368,Słuchawki,4163.21,12,4662.8,D
5369,Soundbar,1432.62,8,1547.23,B
